Data da Compra,Loja,UF,Categoria,Tamanho,Cor,Preço Unitário,Quantidade,Valor Total,Estação,Cidade,Tipo de Lead
2023-08-08,Loja_29,PR,Short,G,Cinza,201.03,56,11257.68,Outono,Maringá,Inbound
2022-07-03,Loja_16,PE,Short,G,Preto,190.11,26,4942.86,Outono,Olinda,Outbound
2022-09-27,Loja_35,GO,Blusa,PP,Azul,291.42,66,19233.72,Inverno,Anápolis,Inbound
2022-04-06,Loja_3,DF,Short,P,Cinza,52.81,37,1953.97,Verão,Brasília,Inbound
2023-04-14,Loja_7,SP,Jaqueta,PP,Branco,68.05,79,5375.95,Verão,Campinas,Outbound
2023-03-03,Loja_8,MG,Macacão,G,Rosa,68.34,96,6560.64,Verão,Belo Horizonte,Outbound
2022-03-25,Loja_39,BA,Short,G,Cinza,68.39,78,5334.42,Verão,Feira de Santana,Inbound
2022-02-24,Loja_20,MG,Short,PP,Preto,256.93,89,22866.77,Primavera,Uberlândia,Outbound
2022-09-26,Loja_48,BA,Calça Jeans,GG,Amarelo,276.56,46,12721.76,Inverno,Feira de Santana,Outbound
2023-06-27,Loja_34,PR,Jaqueta,G,Verde,231.05,92,21256.6,Outono,Curitiba,Outbound
2022-12-19,Loja_34,PR,Jaqueta,PP,Preto,170.23,52,8851.96,Primavera,Maringá,Outbound
2023-12-29,Loja_17,BA,Camiseta,P,Verde,207.92,51,10603.92,Primavera,Salvador,Inbound
2024-02-11,Loja_38,MG,Calça Jeans,G,Vermelho,31.21,11,343.31,Primavera,Belo Horizonte,Inbound
2023-08-04,Loja_44,SP,Calça Jeans,G,Cinza,194.01,31,6014.31,Outono,Campinas,Outbound
2022-04-01,Loja_24,MG,Jaqueta,PP,Vermelho,66.68,5,333.4,Verão,Uberlândia,Outbound
2022-06-12,Loja_44,RS,Short,P,Cinza,50.41,23,1159.43,Outono,Caxias do Sul,Outbound
2022-08-04,Loja_14,MG,Vestido,P,Cinza,272.18,86,23407.48,Outono,Uberlândia,Outbound
2022-10-07,Loja_26,RJ,Calça Jeans,PP,Branco,237.31,70,16611.7,Inverno,Petrópolis,Outbound
2022-07-18,Loja_33,PR,Camiseta,G,Vermelho,73.9,59,4360.1,Outono,Curitiba,Inbound
2024-01-14,Loja_7,PR,Macacão,PP,Cinza,117.37,99,11619.63,Primavera,Londrina,Inbound
2022-09-22,Loja_5,SP,Macacão,GG,Azul,195.07,6,1170.42,Inverno,Campinas,Inbound
2022-02-22,Loja_31,SC,Saia,M,Azul,260.87,72,18782.64,Primavera,Joinville,Outbound
2023-04-01,Loja_29,SP,Vestido,GG,Cinza,211.68,39,8255.52,Verão,Campinas,Outbound
2022-07-16,Loja_30,GO,Blusa,PP,Branco,70.89,76,5387.64,Outono,Anápolis,Outbound
2022-04-23,Loja_22,PR,Macacão,PP,Rosa,275.31,93,25603.83,Verão,Londrina,Outbound
2024-02-29,Loja_44,DF,Camiseta,M,Cinza,238.56,64,15267.84,Primavera,Brasília,Inbound
2022-11-23,Loja_21,MG,Macacão,G,Azul,243.97,79,19273.63,Inverno,Contagem,Inbound
2023-01-25,Loja_39,SC,Saia,G,Amarelo,141.86,70,9930.2,Primavera,Joinville,Outbound
2022-10-27,Loja_42,SC,Short,PP,Amarelo,37.57,11,413.27,Inverno,Florianópolis,Inbound
2024-02-14,Loja_43,SC,Vestido,P,Verde,159.42,2,318.84,Primavera,Blumenau,Outbound
2023-09-26,Loja_25,GO,Blusa,G,Vermelho,186.45,27,5034.15,Inverno,Aparecida de Goiânia,Outbound
2023-07-19,Loja_16,BA,Macacão,M,Vermelho,283.38,22,6234.36,Outono,Salvador,Inbound
2023-10-16,Loja_42,PE,Jaqueta,G,Vermelho,221.06,59,13042.54,Inverno,Olinda,Outbound
2023-02-03,Loja_24,DF,Saia,PP,Amarelo,158.83,81,12865.23,Primavera,Brasília,Inbound
2022-07-10,Loja_49,RS,Saia,G,Amarelo,204.25,27,5514.75,Outono,Pelotas,Inbound
2022-08-03,Loja_19,RS,Macacão,P,Amarelo,250.62,19,4761.78,Outono,Porto Alegre,Outbound
2022-10-09,Loja_7,SC,Macacão,PP,Vermelho,239.74,45,10788.3,Inverno,Florianópolis,Outbound
2023-05-14,Loja_27,MG,Saia,PP,Rosa,148.73,61,9072.53,Verão,Contagem,Outbound
2022-12-20,Loja_20,MG,Blusa,GG,Vermelho,60.86,7,426.02,Primavera,Uberlândia,Outbound
2024-03-10,Loja_10,PE,Camiseta,M,Azul,47.47,40,1898.8,Verão,Recife,Outbound
2022-09-23,Loja_41,GO,Blusa,PP,Verde,246.64,11,2713.04,Inverno,Anápolis,Inbound
2024-03-01,Loja_9,DF,Macacão,PP,Amarelo,46.77,15,701.55,Verão,Brasília,Outbound
2022-06-12,Loja_35,MG,Calça Jeans,M,Rosa,106.57,82,8738.74,Outono,Contagem,Outbound
2023-07-22,Loja_23,BA,Blusa,GG,Verde,218.39,99,21620.61,Outono,Feira de Santana,Outbound
2023-07-18,Loja_42,BA,Short,G,Cinza,217.65,46,10011.9,Outono,Salvador,Outbound
2022-02-04,Loja_43,PE,Jaqueta,G,Vermelho,275.18,22,6053.96,Primavera,Recife,Inbound
2024-03-17,Loja_48,MG,Macacão,GG,Azul,182.59,88,16067.92,Verão,Belo Horizonte,Inbound
2023-04-01,Loja_17,RS,Blusa,M,Cinza,257.6,82,21123.2,Verão,Caxias do Sul,Inbound
2023-08-23,Loja_23,RJ,Saia,PP,Rosa,117.99,51,6017.49,Outono,Petrópolis,Inbound
2023-03-11,Loja_26,MG,Calça Jeans,PP,Branco,284.55,19,5406.45,Verão,Belo Horizonte,Inbound
2022-12-25,Loja_18,PR,Vestido,G,Rosa,113.22,78,8831.16,Primavera,Curitiba,Inbound
2022-06-16,Loja_15,MG,Macacão,M,Preto,44.56,76,3386.56,Outono,Uberlândia,Outbound
2022-05-23,Loja_31,PR,Short,P,Cinza,149.82,32,4794.24,Verão,Maringá,Outbound
2022-10-15,Loja_25,RS,Macacão,G,Amarelo,111.4,24,2673.6,Inverno,Caxias do Sul,Outbound
2022-11-18,Loja_47,DF,Jaqueta,M,Vermelho,80.93,43,3479.99,Inverno,Brasília,Outbound
2023-09-30,Loja_18,PR,Short,M,Rosa,216.71,41,8885.11,Inverno,Maringá,Inbound
2022-09-27,Loja_25,GO,Macacão,M,Branco,61.13,88,5379.44,Inverno,Anápolis,Inbound
2023-11-20,Loja_8,RJ,Saia,G,Vermelho,109.28,3,327.84,Inverno,Niterói,Outbound
2023-07-25,Loja_44,RJ,Macacão,GG,Preto,32.16,29,932.64,Outono,Rio de Janeiro,Outbound
2023-03-17,Loja_33,MG,Jaqueta,PP,Vermelho,285.69,55,15712.95,Verão,Belo Horizonte,Inbound
2023-07-11,Loja_28,PR,Macacão,P,Vermelho,62.54,30,1876.2,Outono,Maringá,Outbound
2023-03-21,Loja_33,DF,Camiseta,M,Rosa,38.17,1,38.17,Verão,Brasília,Inbound
2022-10-28,Loja_46,SP,Short,PP,Branco,163.16,57,9300.12,Inverno,Campinas,Inbound
2024-01-12,Loja_11,RJ,Saia,G,Amarelo,129.91,62,8054.42,Primavera,Petrópolis,Outbound
2022-11-03,Loja_46,RS,Short,P,Verde,40.75,90,3667.5,Inverno,Caxias do Sul,Inbound
2022-08-18,Loja_47,DF,Calça Jeans,M,Cinza,294.49,65,19141.85,Outono,Brasília,Inbound
2023-05-13,Loja_5,RS,Jaqueta,M,Azul,284.98,12,3419.76,Verão,Porto Alegre,Inbound
2022-03-18,Loja_45,PR,Blusa,G,Preto,265.38,81,21495.78,Verão,Maringá,Inbound
2024-01-19,Loja_47,PR,Saia,GG,Vermelho,222.24,29,6444.96,Primavera,Londrina,Inbound
2023-07-25,Loja_47,RJ,Short,P,Cinza,57.91,38,2200.58,Outono,Petrópolis,Inbound
2022-01-13,Loja_20,SP,Jaqueta,G,Branco,160.21,56,8971.76,Primavera,Santos,Outbound
2022-06-24,Loja_13,PR,Macacão,G,Preto,260.93,44,11480.92,Outono,Maringá,Outbound
2023-12-13,Loja_37,GO,Blusa,PP,Cinza,119.38,71,8475.98,Primavera,Goiânia,Inbound
2023-12-07,Loja_20,RS,Macacão,G,Cinza,219.93,43,9456.99,Primavera,Porto Alegre,Inbound
2023-02-06,Loja_3,DF,Saia,M,Azul,80.24,70,5616.8,Primavera,Brasília,Outbound
2022-10-16,Loja_32,GO,Calça Jeans,GG,Azul,217.99,76,16567.24,Inverno,Anápolis,Outbound
2022-09-27,Loja_10,PE,Saia,PP,Verde,72.65,49,3559.85,Inverno,Recife,Inbound
2023-01-31,Loja_42,GO,Saia,G,Verde,278.98,50,13949.0,Primavera,Aparecida de Goiânia,Outbound
2023-07-05,Loja_33,SC,Macacão,GG,Vermelho,192.49,18,3464.82,Outono,Joinville,Inbound
2023-12-26,Loja_28,SC,Camiseta,P,Rosa,187.08,70,13095.6,Primavera,Joinville,Inbound
2022-05-13,Loja_38,RS,Macacão,P,Azul,34.05,99,3370.95,Verão,Pelotas,Inbound
2022-05-21,Loja_25,PE,Blusa,P,Vermelho,246.56,20,4931.2,Verão,Caruaru,Inbound
2024-01-04,Loja_44,SP,Calça Jeans,P,Verde,206.36,71,14651.56,Primavera,Campinas,Outbound
2023-07-28,Loja_44,RJ,Calça Jeans,P,Cinza,145.49,20,2909.8,Outono,Niterói,Inbound
2023-08-08,Loja_41,SC,Short,G,Azul,285.35,7,1997.45,Outono,Joinville,Inbound
2023-04-26,Loja_12,PE,Blusa,PP,Branco,199.89,3,599.67,Verão,Caruaru,Inbound
2023-11-05,Loja_46,PE,Calça Jeans,PP,Rosa,253.96,76,19300.96,Inverno,Recife,Outbound
2022-11-10,Loja_32,PE,Blusa,G,Amarelo,289.57,2,579.14,Inverno,Caruaru,Outbound
2023-07-12,Loja_20,RJ,Vestido,PP,Cinza,59.73,65,3882.45,Outono,Niterói,Outbound
2022-06-02,Loja_16,GO,Vestido,PP,Verde,138.26,63,8710.38,Outono,Anápolis,Outbound
2023-09-18,Loja_18,PE,Saia,GG,Vermelho,264.79,24,6354.96,Inverno,Recife,Outbound
2022-07-16,Loja_32,BA,Short,M,Branco,82.68,69,5704.92,Outono,Vitória da Conquista,Outbound
2023-02-13,Loja_16,SC,Jaqueta,P,Azul,138.01,62,8556.62,Primavera,Blumenau,Outbound
2022-06-11,Loja_40,SP,Calça Jeans,GG,Vermelho,166.48,3,499.44,Outono,Campinas,Inbound
2023-12-20,Loja_33,SC,Jaqueta,P,Branco,57.14,72,4114.08,Primavera,Blumenau,Inbound
2022-11-27,Loja_35,DF,Vestido,GG,Amarelo,34.57,31,1071.67,Inverno,Brasília,Inbound
2024-01-08,Loja_21,PE,Macacão,PP,Branco,113.47,6,680.82,Primavera,Olinda,Outbound
2022-06-03,Loja_29,PR,Short,P,Preto,196.64,59,11601.76,Outono,Maringá,Inbound
2023-04-16,Loja_44,RJ,Saia,M,Azul,243.01,30,7290.3,Verão,Petrópolis,Inbound
2022-12-01,Loja_38,GO,Jaqueta,G,Verde,120.14,68,8169.52,Primavera,Aparecida de Goiânia,Inbound
2023-01-30,Loja_4,GO,Blusa,PP,Amarelo,274.04,60,16442.4,Primavera,Aparecida de Goiânia,Outbound
2023-03-18,Loja_20,RJ,Short,PP,Vermelho,85.38,15,1280.7,Verão,Niterói,Outbound
2024-01-10,Loja_38,RJ,Blusa,PP,Rosa,140.11,81,11348.91,Primavera,Niterói,Outbound
2022-07-17,Loja_33,PE,Camiseta,G,Branco,33.33,79,2633.07,Outono,Olinda,Outbound
2023-08-09,Loja_38,RS,Calça Jeans,PP,Verde,98.62,58,5719.96,Outono,Pelotas,Inbound
2022-11-03,Loja_28,PR,Jaqueta,GG,Vermelho,176.8,84,14851.2,Inverno,Maringá,Outbound
2022-10-23,Loja_41,RS,Blusa,P,Azul,199.63,87,17367.81,Inverno,Pelotas,Inbound
2022-12-12,Loja_14,SC,Camiseta,M,Azul,207.67,56,11629.52,Primavera,Blumenau,Outbound
2022-10-28,Loja_24,RJ,Vestido,GG,Vermelho,30.03,59,1771.77,Inverno,Niterói,Inbound
2023-11-05,Loja_13,SC,Short,P,Verde,140.24,65,9115.6,Inverno,Florianópolis,Inbound
2023-01-24,Loja_47,MG,Camiseta,P,Vermelho,124.36,74,9202.64,Primavera,Uberlândia,Outbound
2022-06-26,Loja_31,RS,Calça Jeans,P,Verde,122.09,3,366.27,Outono,Porto Alegre,Inbound
2023-02-05,Loja_46,SP,Calça Jeans,G,Cinza,124.47,97,12073.59,Primavera,Santos,Outbound
2024-02-23,Loja_46,PR,Blusa,PP,Azul,73.25,17,1245.25,Primavera,Curitiba,Outbound
2023-02-08,Loja_20,SP,Short,G,Verde,71.75,21,1506.75,Primavera,São Paulo,Inbound
2024-01-04,Loja_14,MG,Camiseta,P,Amarelo,155.46,7,1088.22,Primavera,Contagem,Outbound
2022-07-11,Loja_33,SC,Short,M,Preto,169.53,12,2034.36,Outono,Florianópolis,Inbound
2022-05-11,Loja_31,SP,Calça Jeans,P,Rosa,228.51,6,1371.06,Verão,São Paulo,Outbound
2022-01-29,Loja_36,PR,Macacão,G,Verde,278.01,21,5838.21,Primavera,Curitiba,Outbound
2022-04-21,Loja_43,PE,Macacão,M,Preto,283.95,64,18172.8,Verão,Olinda,Inbound
2023-01-30,Loja_33,RJ,Calça Jeans,G,Vermelho,296.24,8,2369.92,Primavera,Niterói,Outbound
2023-07-07,Loja_35,MG,Short,GG,Cinza,126.32,33,4168.56,Outono,Contagem,Outbound
2022-09-03,Loja_49,DF,Blusa,GG,Rosa,95.85,99,9489.15,Inverno,Brasília,Outbound
2024-02-05,Loja_49,PR,Blusa,M,Azul,32.34,66,2134.44,Primavera,Maringá,Inbound
2022-08-27,Loja_7,BA,Jaqueta,M,Azul,134.76,35,4716.6,Outono,Salvador,Outbound
2022-09-15,Loja_14,BA,Short,PP,Cinza,62.82,93,5842.26,Inverno,Vitória da Conquista,Outbound
2024-01-11,Loja_39,PE,Short,GG,Cinza,40.0,75,3000.0,Primavera,Olinda,Outbound
2024-02-27,Loja_23,GO,Macacão,M,Rosa,282.82,92,26019.44,Primavera,Anápolis,Outbound
2023-06-26,Loja_4,DF,Jaqueta,P,Cinza,203.68,85,17312.8,Outono,Brasília,Inbound
2023-08-13,Loja_43,DF,Macacão,GG,Preto,80.34,11,883.74,Outono,Brasília,Outbound
2023-10-23,Loja_38,BA,Short,P,Branco,83.59,55,4597.45,Inverno,Vitória da Conquista,Outbound
2023-03-13,Loja_1,PE,Vestido,G,Vermelho,182.43,6,1094.58,Verão,Recife,Outbound
2023-11-23,Loja_28,SC,Vestido,PP,Cinza,49.28,36,1774.08,Inverno,Florianópolis,Outbound
2023-11-25,Loja_47,PE,Vestido,P,Amarelo,155.06,53,8218.18,Inverno,Caruaru,Inbound
2023-02-04,Loja_36,PR,Calça Jeans,GG,Rosa,230.73,76,17535.48,Primavera,Londrina,Inbound
2023-08-29,Loja_13,RS,Camiseta,GG,Amarelo,137.78,8,1102.24,Outono,Porto Alegre,Inbound
2024-03-06,Loja_39,RS,Saia,P,Amarelo,62.81,4,251.24,Verão,Caxias do Sul,Inbound
2023-02-20,Loja_16,MG,Camiseta,G,Cinza,267.25,49,13095.25,Primavera,Contagem,Inbound
2023-01-06,Loja_24,MG,Jaqueta,GG,Branco,202.57,97,19649.29,Primavera,Belo Horizonte,Outbound
2023-10-29,Loja_32,SP,Vestido,P,Vermelho,195.12,65,12682.8,Inverno,São Paulo,Inbound
2024-02-28,Loja_1,GO,Camiseta,M,Cinza,296.88,37,10984.56,Primavera,Aparecida de Goiânia,Inbound
2022-11-16,Loja_10,RS,Blusa,M,Rosa,226.74,93,21086.82,Inverno,Caxias do Sul,Outbound
2022-05-31,Loja_45,PE,Vestido,M,Amarelo,178.22,98,17465.56,Verão,Olinda,Inbound
2022-08-09,Loja_25,RJ,Macacão,PP,Verde,216.3,86,18601.8,Outono,Rio de Janeiro,Outbound
2023-03-08,Loja_26,BA,Saia,PP,Branco,132.59,13,1723.67,Verão,Vitória da Conquista,Inbound
2023-03-18,Loja_24,DF,Short,M,Amarelo,202.76,59,11962.84,Verão,Brasília,Outbound
2023-10-04,Loja_37,GO,Calça Jeans,M,Rosa,109.34,31,3389.54,Inverno,Aparecida de Goiânia,Outbound
2023-10-23,Loja_49,PE,Jaqueta,PP,Vermelho,276.46,92,25434.32,Inverno,Olinda,Outbound
2022-03-08,Loja_5,SC,Jaqueta,GG,Preto,185.79,12,2229.48,Verão,Joinville,Outbound
2024-02-28,Loja_3,RJ,Calça Jeans,PP,Cinza,239.15,7,1674.05,Primavera,Petrópolis,Inbound
2023-01-26,Loja_33,BA,Blusa,PP,Preto,91.33,96,8767.68,Primavera,Salvador,Inbound
2024-03-15,Loja_49,BA,Saia,GG,Cinza,60.63,4,242.52,Verão,Feira de Santana,Inbound
2023-12-26,Loja_6,BA,Macacão,GG,Vermelho,77.07,14,1078.98,Primavera,Vitória da Conquista,Inbound
2023-07-11,Loja_13,BA,Short,M,Preto,208.28,17,3540.76,Outono,Vitória da Conquista,Outbound
2023-09-19,Loja_5,RJ,Calça Jeans,M,Azul,78.99,20,1579.8,Inverno,Rio de Janeiro,Inbound
2023-02-25,Loja_10,RJ,Macacão,PP,Verde,55.19,19,1048.61,Primavera,Rio de Janeiro,Outbound
2022-07-12,Loja_32,SC,Short,GG,Cinza,88.17,1,88.17,Outono,Florianópolis,Inbound
2023-10-04,Loja_37,GO,Macacão,PP,Cinza,214.05,4,856.2,Inverno,Goiânia,Outbound
2023-04-11,Loja_34,BA,Blusa,PP,Preto,31.09,44,1367.96,Verão,Vitória da Conquista,Inbound
2023-01-06,Loja_26,DF,Camiseta,P,Cinza,164.85,8,1318.8,Primavera,Brasília,Outbound
2022-09-26,Loja_13,SC,Blusa,M,Branco,132.31,22,2910.82,Inverno,Blumenau,Inbound
2022-10-05,Loja_14,BA,Saia,GG,Verde,117.39,1,117.39,Inverno,Vitória da Conquista,Outbound
2023-05-30,Loja_10,MG,Jaqueta,GG,Branco,84.33,16,1349.28,Verão,Contagem,Inbound
2023-02-15,Loja_19,SC,Calça Jeans,G,Amarelo,280.05,81,22684.05,Primavera,Joinville,Inbound
2022-10-06,Loja_19,GO,Calça Jeans,M,Amarelo,213.37,90,19203.3,Inverno,Aparecida de Goiânia,Outbound
2022-09-15,Loja_44,SP,Macacão,PP,Amarelo,192.7,12,2312.4,Inverno,São Paulo,Inbound
2023-01-11,Loja_33,PR,Saia,P,Azul,171.75,43,7385.25,Primavera,Curitiba,Inbound
2023-11-02,Loja_39,MG,Short,PP,Vermelho,267.71,2,535.42,Inverno,Belo Horizonte,Outbound
2023-08-19,Loja_12,SC,Saia,P,Azul,59.03,46,2715.38,Outono,Florianópolis,Outbound
2023-04-08,Loja_8,PR,Blusa,GG,Vermelho,282.89,14,3960.46,Verão,Curitiba,Outbound
2022-06-05,Loja_22,GO,Saia,PP,Cinza,218.67,64,13994.88,Outono,Anápolis,Inbound
2023-04-22,Loja_26,MG,Jaqueta,P,Branco,200.14,46,9206.44,Verão,Belo Horizonte,Inbound
2023-10-01,Loja_5,GO,Vestido,G,Verde,209.73,99,20763.27,Inverno,Aparecida de Goiânia,Inbound
2022-02-07,Loja_24,RJ,Vestido,GG,Vermelho,83.99,20,1679.8,Primavera,Petrópolis,Outbound
2023-03-19,Loja_33,PR,Calça Jeans,P,Rosa,143.09,23,3291.07,Verão,Londrina,Inbound
2023-12-16,Loja_38,MG,Jaqueta,P,Vermelho,227.11,26,5904.86,Primavera,Uberlândia,Outbound
2022-06-11,Loja_42,SC,Vestido,M,Amarelo,160.9,29,4666.1,Outono,Blumenau,Outbound
2022-01-12,Loja_23,SC,Jaqueta,P,Rosa,171.42,53,9085.26,Primavera,Blumenau,Inbound
2022-08-07,Loja_8,DF,Blusa,GG,Rosa,195.46,16,3127.36,Outono,Brasília,Outbound
2022-12-09,Loja_25,SC,Vestido,G,Cinza,252.13,49,12354.37,Primavera,Blumenau,Outbound
2024-02-08,Loja_49,RJ,Saia,P,Cinza,161.86,17,2751.62,Primavera,Rio de Janeiro,Inbound
2022-04-19,Loja_46,SP,Blusa,G,Rosa,205.69,49,10078.81,Verão,Campinas,Inbound
2022-11-11,Loja_23,GO,Camiseta,M,Branco,282.93,7,1980.51,Inverno,Aparecida de Goiânia,Inbound
2022-12-18,Loja_27,MG,Macacão,PP,Vermelho,121.32,74,8977.68,Primavera,Belo Horizonte,Inbound
2023-01-05,Loja_48,MG,Calça Jeans,GG,Amarelo,76.35,59,4504.65,Primavera,Contagem,Outbound
2023-04-17,Loja_39,SC,Blusa,M,Vermelho,155.56,23,3577.88,Verão,Joinville,Inbound
2022-04-05,Loja_5,RS,Camiseta,GG,Amarelo,173.89,61,10607.29,Verão,Pelotas,Outbound
2023-11-18,Loja_31,SP,Macacão,GG,Rosa,190.21,38,7227.98,Inverno,São Paulo,Inbound
2023-12-17,Loja_17,PE,Jaqueta,G,Preto,164.46,85,13979.1,Primavera,Olinda,Inbound
2024-01-18,Loja_26,PE,Calça Jeans,GG,Rosa,94.0,11,1034.0,Primavera,Recife,Outbound
2024-03-23,Loja_15,PR,Calça Jeans,GG,Verde,257.55,96,24724.8,Verão,Maringá,Inbound
